Header,Frequency
X-Envoy-Upstream-Service-Time,213
Content-Transfer-Encoding,203
X-Animated,201
X-Canonical-Ops,201
X-Image-Dimensions,201
X-Source-Image-Dimensions,201
F-Cdn,200
X-Img-Class,200
Httpsonly,200
X-Firefox-Spdy,200
X-Cloud-Trace-Context,200
X-Cache-Hit,200
X-Cache-Id,200
Ki-Cache-Type,200
Ki-Cf-Cache-Status,200
Ki-Edge,200
X-Edge-Location-Klb,200
X-Tata-Request-Id,200
X-Version,200
X-Real-Ip,200
Accept-Ch,200
Origin,200
X-Do-Cdn-Uuid,200
X-Httpd,200
X-Cdn-C,200
X-Sg-Cdn,200
X-Rocket-Nginx-Serving-Static,200
X-Rocket-Nginx-Reason,200
X-Rocket-Nginx-File,200
X-Cache-Key,200
X-Origin-Host,200
X-Cache-Backend,200
X-Cache-Status,200
Surrogate-Key,200
X-Backend-Host,200
X-Gateway-Host,200
Akamai-Mon-Iucid-Del,200
X-Ip-Source,200
X-Ai-Grn,200
X-Mg-Request-Uuid,200
X-Runtime,200
X-Dynatrace,200
X-Ua-Compatibility,200
Cf-Images,200
X-Sid,199
X-Amz-Meta-Surrogate-Key,199
X-Aspnetmvc-Version,198
X-Hw,198
Amp-Access-Control-Allow-Source-Origin,198
X-Cache-Nxaccel,198
X-Vhost,198
X-Ai-Status,198
X-Amz-Expiration,197
X-Amz-Meta-Cleanquerystring,197
X-Aka-Bypass-Rule,197
Content-Range,197
Cf-Ipcountry,197
X-Ah-Environment,197
X-Amz-Meta-S3B-Last-Modified,196
User-Agent,195
X-Trace-Id,188
X-Gumlet-Oc,186
Locationheader,182
Statictime,179
X-Server,179
Microsoftsharepointteamservices,171
X-Ms-Invokeapp,171
Resourcetag,169
Public-Extension,169
Request-Id,169
Sprequestduration,169
Spiislatency,169
X-Instana-L,164
X-Instana-S,164
X-Instana-T,164
X-Cached,163
X-Envoy-Decorator-Operation,156
Fastly-Io-Served-By,149
X-Akamai-Im-Skip-Dlr,146
X-Nx-Resp,145
X-Image-Server-Product,144
X-Image-Server-Response,144
X-Image-Server-Original-Size,144
X-Im-Original-Width,144
X-Image-Server-Store-Time,144
X-Im-Result-Width,144
X-Im-Policy-Version,144
Im-Processed-By,136
X-Matched-Path,132
X-Image-Server-Fetch-Real,127
X-Image-Server-Cpu-Real,127
X-Image-Server-Cost-Estimate,127
X-Image-Server-Cost-Real,127
Cachettl,124
X-Haystack-Needlechecksum,122
Edge-Start,114
Origin-Latency,114
X-Image-Server-Fetch-Estimate,111
X-Image-Server-Cpu-Estimate,111
X-Datastream-Cache-Status,108
Vha6-Origin,107
Image-Debug-Turnaroundrtime,98
Image-Debug-Transfertime,98
Image-Debug-Clientrtt,98
Image-Debug-Status,98
Imageprocessedby,91
X-Edgeconnect-Midmile-Rtt,89
X-Edgeconnect-Origin-Mex-Latency,89
X-Rq,82
Cache-Tag,77
Edge-Cache-Tag,69
X-Akamai-Note,65
X-Debug-Resp,55
X-Amz-Meta-S3Cmd-Attrs,53
X-Ratelimit-Limit,50
X-Ratelimit-Remaining,50
X-Ratelimit-Reset,50
X-Debug,50
X-Vcl-Time-Ms,50
Req-Referer,49
Surrogate-Reporting,48
Proxy-Status,48
X-Datastream-Midmile-Rtt,46
X-Datastream-Origin-Mex-Latency,46
Cross-Origin-Opener-Policy,45
Status,40
X-Cache-Override,40
Cross-Origin-Embedder-Policy,36
X-Amz-Meta-Origurl,33
Content-Security-Policy-Report-Only,32
X-Amz-Meta-Mtime,29
X-Amz-Restore,27
X-Hs-Https-Only,27
X-Upstream-Checksum-Algorithm,23
X-Amz-Meta-Cache-Tag,19
X-Hs-Cf-Lambda,19
X-Hs-Cf-Lambda-Enforce,19
Headerserver,18
X-Host,18
X-Im2G-Akamai-Auth-Sign,17
X-Im2G-Akamai-Auth-Data,17
Thrift_Fmhk,15
Edge-Control,11
X-Commit-Sha,10
X-Datadome,10
Expiration,10
X-Dispatcher,9
X-Wasabi-Cm-Reference-Id,9
X-Amz-Meta-Created-Unix-Time-Millis,9
X-Amz-Meta-Index-Tag,9
Perma-Cache,8
X-Hs-Alternate-Content-Type,6
Cdn-Storageserver,5
Cdn-Fileserver,5
X-Cache-Lookup,5
X-Amz-Meta-Fl-Original-Last-Modified,4
Unused62,3
Dummy,3
Geolocation,3
X-Bill,3
X-Uid,3
Cdn-Storagebalancer,3
X-Bo-Server,3
X-Downloadsize,3
X-Bo-Origindownloadtime,3
X-Bo-Processingtime,3
X-Bo-Compressionratio,3
X-Served,3
X-Backend,3
X-Rtd-Project,3
X-Rtd-Version,3
X-Rtd-Path,3
X-Rtd-Domain,3
X-Rtd-Version-Method,3
X-Rtd-Project-Method,3
Cdn-Cache-Control,3
Offloaded,3
Access-Control-Expose-Header,2
Stream-Dw-Version,2
X-Backend-Name,2
X-Nocache,2
Content-Location,2
Tcn,2
Allow,1
X-Amz-Meta-Cache-Control,1
X-Sfdc-Request-Id,1
Service-Worker-Allowed,1
Traceresponse,1
X-Debug-Info,1
X-Platform-Server,1
